Airport Code,Airport Description
NRR,"- Ceiba, PR: Roosevelt Roads NAS"
CEM,"- Central, AK: Central Airport"
CDR,"- Chadron, NE: Chadron Municipal"
CIK,"- Chalkyitsik, AK: Chalkyitsik Airport"
CMI,"- Champaign/Urbana, IL: University of Illinois/Willard"
WCR,"- Chandalar, AK: Chandalar Lake"
CHS,"- Charleston, SC: Charleston AFB/International"
CRW,"- Charleston/Dunbar, WV: Yeager"
SPB,"- Charlotte Amalie, VI: Charlotte Amalie Harbor Seaplane Base"
STT,"- Charlotte Amalie, VI: Cyril E King"
CHO,"- Charlottesville, VA: Charlottesville Albemarle"
CYM,"- Chatham, AK: Chatham Airport"
UBF,"- Chatham, MA: Chatham Municipal"
CHA,"- Chattanooga, TN: Lovell Field"
CYF,"- Chefornak, AK: Chefornak Airport"
WA7,"- Chelan, WA: Chelan Seaplane Landing"
CEX,"- Chena Hot Springs, AK: Chena Hot Springs Airport"
EGA,"- Chenega, AK: Chenega Airport"
NCN,"- Chenega, AK: Chenega Bay"
KCN,"- Chernofski, AK: Chernofski Harbor"
VAK,"- Chevak, AK: Chevak Airport"
CYS,"- Cheyenne, WY: Cheyenne Regional/Jerry Olson Field"
PWK,"- Chicago, IL: Chicago Executive"
DPA,"- Chicago, IL: Du Page County"
LOT,"- Chicago/Romeoville, IL: Lewis University"
CKX,"- Chicken, AK: Chicken Airport"
CIC,"- Chico, CA: Chico Municipal"
CEF,"- Chicopee Falls, MA: Westover ARB Metropolitan"
KCG,"- Chignik Bay, AK: Chignik Bay Airport"
KCL,"- Chignik Lagoon, AK: Chignik Lagoon Airport"
WQZ,"- Chignik Lake, AK: Chignik Lake Airport"
KCQ,"- Chignik, AK: Chignik Lake"
CZN,"- Chisana, AK: Chisana Airport"
CIV,"- Chomley, AK: Chomley Airport"
ZXH,"- Chomondely Sound, AK: Chomondely Sound Airport"
SSB,"- Christiansted, VI: Christiansted Harbor Seaplane Base"
STX,"- Christiansted, VI: Henry E. Rohlsen"
CHU,"- Chuathbaluk, AK: Chuathbaluk Airport"
LUK,"- Cincinnati, OH: Cincinnati Municipal Lunken Field"
CVG,"- Cincinnati, OH: Cincinnati/Northern Kentucky International"
OQC,"- Cinder River Lodge, AK: Cinder River Lodge Airport"
A12,"- Cinnabar, AK: Cinnabar Airport"
CHP,"- Circle Hot Springs, AK: Circle Hot Springs Airport"
IRC,"- Circle, AK: Circle City"
CLP,"- Clarks Point, AK: Clarks Point Airport"
CKB,"- Clarksburg/Fairmont, WV: North Central West Virginia"
BKL,"- Cleveland, OH: Burke Lakefront"
CLE,"- Cleveland, OH: Cleveland-Hopkins International"
CGF,"- Cleveland, OH: Cuyahoga County"
CFT,"- Clifton, AZ: Greenlee County"
CLK,"- Clinton, OK: Clinton Regional"
ZXN,"- Clover Bay, AK: Clover Bay Airport"
CVN,"- Clovis, NM: Clovis Municipal"
ZXI,"- Coal Bay, AK: Coal Bay Airport"
OOB,"- Cobol, AK: Cobol Alaska/Scaled/"
COD,"- Cody, WY: Yellowstone Regional"
CFA,"- Coffee Point, AK: Coffee Point Airport"
KCC,"- Coffman Cove, AK: Coffman Cove Seaplane Base"
A69,"- Cold Bay, AK: Cathedral Strip"
CDB,"- Cold Bay, AK: Cold Bay Airport"
