Airport Code,Airport Description
WA3,"- Shaw Island, WA: Shaw Islands Water Aerodrome"
A77,"- Shearwater, AK: Shearwater Airport"
SXP,"- Sheldon Point, AK: Nunam Iqua"
SYA,"- Shemya, AK: Eareckson AS"
SHR,"- Sheridan, WY: Sheridan County"
PNX,"- Sherman-Denison, TX: Sherman-Denison Airport"
OQV,"- Shirleyville, AK: Shirleyville Airport"
SHH,"- Shishmaref, AK: Shishmaref Airport"
SOW,"- Show Low, AZ: Show Low Regional"
BAD,"- Shreveport, LA: Barksdale AFB"
SHV,"- Shreveport, LA: Shreveport Regional"
SHG,"- Shungnak, AK: Shungnak Airport"
SDY,"- Sidney, MT: Sidney Richland Regional"
SVC,"- Silver City/Hurley, NM: Grant County"
SUX,"- Sioux City, IA: Sioux Gateway Brig Gen Bud Day Field"
FSD,"- Sioux Falls, SD: Joe Foss Field"
NKT,"- Sirnak, Turkey: Serafettin Elci"
SIT,"- Sitka, AK: Sitka Rocky Gutierrez"
SKJ,"- Sitkinak, AK: Sitkinak CGS"
SGY,"- Skagway, AK: Skagway Airport"
SKW,"- Skwentna, AK: Skwentna Airport"
TX8,"- Slaton, TX: Slaton Municipal"
SLQ,"- Sleetmute, AK: Sleetmute Airport"
SCJ,"- Smith Cove, AK: Smith Cove Airport"
MQY,"- Smyrna, TN: Smyrna Airport"
SXQ,"- Soldotna, AK: Soldotna Airport"
SBN,"- South Bend, IN: South Bend International"
WSN,"- South Naknek, AK: South Naknek 2"
SVW,"- Sparrevohn, AK: Sparrevohn LRRS"
GEG,"- Spokane, WA: Spokane International"
SPI,"- Springfield, IL: Abraham Lincoln Capital"
SGF,"- Springfield, MO: Springfield-Branson National"
UST,"- St. Augustine, FL: Northeast Florida Regional"
STC,"- St. Cloud, MN: St. Cloud Regional"
STG,"- St. George Island, AK: St. George Island Airport"
SGU,"- St. George, UT: St George Regional"
STJ,"- St. Joseph, MO: Rosecrans Memorial"
CPS,"- St. Louis, MO: Bi-State Parks"
SUS,"- St. Louis, MO: Spirit of St. Louis"
STL,"- St. Louis, MO: St Louis Lambert International"
KSM,"- St. Mary's, AK: St. Mary's Airport"
SMK,"- St. Michael, AK: St. Michael Airport"
SNP,"- St. Paul, AK: St. Paul Island"
PIE,"- St. Petersburg, FL: St Pete Clearwater International"
RMN,"- Stafford, VA: Stafford Regional"
STF,"- Starkville, MS: George M. Bryan"
SCE,"- State College, PA: University Park"
SHD,"- Staunton, VA: Shenandoah Valley Regional"
WSB,"- Steamboat Bay, AK: Steamboat Bay Airport"
WBB,"- Stebbins, AK: Stebbins Airport"
WA6,"- Stehekin, WA: Stehekin Seaplane Landing"
VZO,"- Stepovak, AK: Stepovak Airport"
SQI,"- Sterling/Rockfalls, IL: Whiteside County-Jos H. Bittorf Field"
SVS,"- Stevens Village, AK: Stevens Village Airport"
SWO,"- Stillwater, OK: Stillwater Regional"
SCK,"- Stockton, CA: Stockton Metropolitan"
SRV,"- Stony River, AK: Stony River Airport"
SLR,"- Sulphur Springs, TX: Sulphur Springs Municipal"
SSC,"- Sumter, SC: Shaw AFB"
SUN,"- Sun Valley/Hailey/Ketchum, ID: Friedman Memorial"
AL9,"- Sylacauga, AL: Merkel Field Sylacauga Municipal"
SYR,"- Syracuse, NY: Syracuse Hancock International"
TCM,"- Tacoma, WA: McChord Field"
TIW,"- Tacoma, WA: Tacoma Narrows"
TCT,"- Takotna, AK: Takotna Airport"
TKA,"- Talkeetna, AK: Talkeetna Airport"
ASN,"- Talladega, AL: Talladega Municipal"
TLH,"- Tallahassee, FL: Tallahassee International"
MCF,"- Tampa, FL: Macdill AFB"
TAL,"- Tanana, AK: Ralph M Calhoun Memorial"
TSM,"- Taos, NM: Taos Regional"
TLJ,"- Tatalina, AK: Tatalina LRRS"
TEK,"- Tatitlek, AK: Tatitlek Airport"
TAV,"- Tau, TT: Tau Airport"
TWE,"- Taylor, AK: Taylor Airport"
TLF,"- Telida, AK: Telida Airport"
TLA,"- Teller, AK: Teller Airport"
TEX,"- Telluride, CO: Telluride Regional"
TKE,"- Tenakee, AK: Tenakee Airport"
HUF,"- Terre Haute, IN: Terre Haute Regional"
A30,"- Terror Lake, AK: Terror Lake Airport"
TEB,"- Teterboro, NJ: Teterboro Airport"
TEH,"- Tetlin, AK: Tetlin Airport"
TXK,"- Texarkana, AR: Texarkana Regional-Webb Field"
DLS,"- The Dalles, OR: Columbia Gorge Regional/The Dalles Municipal"
TRM,"- Thermal, CA: Jacqueline Cochran Regional"
TVF,"- Thief River Falls, MN: Thief River Falls Regional"
KTB,"- Thorne Bay, AK: Thorne Bay Seaplane Base"
TNC,"- Tin City, AK: Tin City LRRS"
TIQ,"- Tinian, TT: Tinian International"
TOG,"- Togiak, AK: Togiak Airport"
TKJ,"- Tok, AK: Tok Junction"
TKI,"- Tokeen, AK: Tokeen Airport"
OOK,"- Toksook, AK: Toksook Bay"
TOL,"- Toledo, OH: Toledo Express"
TPH,"- Tonopah, NV: Tonopah Airport"
FOE,"- Topeka, KS: Topeka Regional"
JZE,"- Trading Bay, AK: Trading Bay Production"
TVC,"- Traverse City, MI: Cherry Capital"
TTN,"- Trenton, NJ: Trenton Mercer"
TTD,"- Troutdale, OR: Portland Troutdale"
TKF,"- Truckee, CA: Truckee Tahoe"
TUS,"- Tucson, AZ: Tucson International"
TUL,"- Tulsa, OK: Tulsa International"
TLT,"- Tuluksak, AK: Tuluksak Airport"
UTM,"- Tunica, MS: Tunica Municipal"
WTL,"- Tuntutuliak, AK: Tuntutuliak Airport"
TNK,"- Tununak, AK: Tununak Airport"
TUP,"- Tupelo, MS: Tupelo Regional"
TCL,"- Tuscaloosa, AL: Tuscaloosa Regional"
TWF,"- Twin Falls, ID: Joslin Field - Magic Valley Regional"
TWA,"- Twin Hills, AK: Twin Hills Airport"
TYR,"- Tyler, TX: Tyler Pounds Regional"
TYE,"- Tyonek, AK: Tyonek Airport"
UGI,"- Uganik, AK: Uganik Airport"
UGS,"- Ugashik, AK: Ugashik Airport"
UMT,"- Umiat, AK: Umiat Airport"
UMB,"- Umnak, AK: North Shore"
UNK,"- Unalakleet, AK: Unalakleet Airport"
DUT,"- Unalaska, AK: Unalaska Airport"
UTO,"- Utopia, AK: Indian Mountain LRRS"
VDZ,"- Valdez, AK: Valdez Pioneer Field"
VLD,"- Valdosta, GA: Valdosta Regional"
VPS,"- Valparaiso, FL: Eglin AFB Destin Fort Walton Beach"
VPZ,"- Valparaiso, IN: Porter County Regional"
VNY,"- Van Nuys, CA: Van Nuys Airport"
VUO,"- Vancouver, WA: Pearson Field"
VEE,"- Venetie, AK: Venetie Airport"
VEL,"- Vernal, UT: Vernal Regional"
VRB,"- Vero Beach, FL: Vero Beach Regional"
VCT,"- Victoria, TX: Victoria Regional"
VCV,"- Victorville, CA: Southern California Logistics"
A67,"- Viekoda Bay, AK: Viekoda Bay Airport"
VQS,"- Vieques, PR: Antonio Rivera Rodriguez"
VCB,"- View Cove, AK: View Cove Airport"
A70,"- Village Islands, AK: Village Islands Airport"
VIS,"- Visalia, CA: Visalia Municipal"
OQI,"- Vrems, AK: Vrems Airport"
CNW,"- Waco, TX: TSTC Waco"
ACT,"- Waco, TX: Waco Regional"
AIN,"- Wainwright, AK: Wainwright Airport"
AWK,"- Wake Island, TT: Wake Island Airfield"
WAA,"- Wales, AK: Wales Airport"
ALW,"- Walla Walla, WA: Walla Walla Regional"
WWA,"- Wasilla, AK: Wasilla Airport"
OXC,"- Waterbury, CT: Waterbury Oxford"
KWF,"- Waterfall, AK: Waterfall Seaplane Base"
ALO,"- Waterloo, IA: Waterloo Regional"
ART,"- Watertown, NY: Watertown International"
ATY,"- Watertown, SD: Watertown Regional"
EAT,"- Wenatchee, WA: Pangborn Memorial"
ENV,"- Wendover, UT: Wendover Airport"
VT1,"- West Dover, VT: Deerfield Valley Regional"
AWM,"- West Memphis, AR: West Memphis Municipal"
PBI,"- West Palm Beach/Palm Beach, FL: Palm Beach International"
KWP,"- West Point, AK: West Point Village"
WYS,"- West Yellowstone, MT: Yellowstone"
WST,"- Westerly, RI: Westerly State"
BAF,"- Westfield, MA: Westfield Barnes Regional"
FOK,"- Westhampton, NY: Francis S. Gabreski"
WSX,"- Westsound, WA: Westsound Airport"
WWP,"- Whale Pass, AK: Whale Pass Airport"
WMO,"- White Mountain, AK: White Mountain Airport"
HPN,"- White Plains, NY: Westchester County"
DQS,"- Whitmore, AZ: Grand Canyon Bar Ten Airstrip"
SPS,"- Wichita Falls, TX: Sheppard AFB/Wichita Falls Municipal"
ICT,"- Wichita, KS: Wichita Dwight D Eisenhower National"
WDB,"- Wide Bay, AK: Wide Bay Airport"
VZN,"- Wildman Creek, AK: Wildman Creek Airport"
IPT,"- Williamsport, PA: Williamsport Regional"
ISN,"- Williston, ND: Sloulin Field International"
XWA,"- Williston, ND: Williston Basin International"
WOW,"- Willow, AK: Willow Airport"
ILG,"- Wilmington, DE: New Castle"
ILM,"- Wilmington, NC: Wilmington International"
ILN,"- Wilmington, OH: Wilmington Air Park"
WGO,"- Winchester, VA: Winchester Regional"
INW,"- Winslow, AZ: Winslow-Lindbergh Regional"
INT,"- Winston-Salem, NC: Smith Reynolds"
WA5,"- Winthrop, WA: Methow Valley State"
WSM,"- Wiseman, AK: Wiseman Airport"
OLF,"- Wolf Point, MT: L. M. Clayton"
ORH,"- Worcester, MA: Worcester Regional"
WRL,"- Worland, WY: Worland Municipal"
WRG,"- Wrangell, AK: Wrangell Airport"
YKM,"- Yakima, WA: Yakima Air Terminal/McAllister Field"
YAK,"- Yakutat, AK: Yakutat Airport"
XWC,"- Yantarni Bay, AK: Yantarni Bay Airport"
WYB,"- Yes Bay, AK: Yes Bay Lodge Seaplane Base"
YNG,"- Youngstown/Warren, OH: Youngstown-Warren Regional"
A63,"- Yukon Charley Rivvers, AK: Coal Creek"
YUM,"- Yuma, AZ: Yuma MCAS/Yuma International"
NYL,"- Yuma, AZ: Yuma MCAS/Yuma International"
KZB,"- Zachar Bay, AK: Zachar Bay Airport"
AK8,"- Zips, AK: Zips Airport"
